,MG1655_cdd,018,019,020,022,023,027,029,031,035,038,042,043,044,045,046,054,055,057,058,061,064,065,066,067,068,070,071,072,074,076,078,079,080,081,082,083,084,085,087,089,092,093,097,101,102,104,105,108,110,112,114,115,116,119,120,123,125,127,132,133,134,137,138,140,141,143,144,145,146,147,150,158,159,160,167,169,171,173,176,177,178,180,182,184,185,186,189,193,196,198,199,201
MG1655_cdd,,1,1,1,3,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,3,1,2,1,1,2,2,2,3,1,3,1,3,1,1,2,1,1,2,2,2,2,3,2,1,3,1,2,1,2,2,1,1,3,1,1,1,2,3,1,1,2,1,1,1,1,1,3,2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,3,2,1,1,2
018,1,,2,2,4,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,4,2,3,2,2,3,3,3,4,2,4,2,4,2,2,3,2,2,3,3,3,3,4,3,2,4,2,3,2,3,3,2,2,4,2,2,2,3,4,2,2,3,2,2,2,2,2,4,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,2,4,3,2,2,3
019,1,2,,2,4,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,4,2,3,2,2,3,3,3,4,2,4,2,4,2,2,3,2,2,3,3,3,3,4,3,2,4,2,3,2,3,3,2,2,4,2,2,2,3,4,2,2,3,2,2,2,2,2,4,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,2,4,1,2,2,3
020,1,2,2,,4,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,4,2,3,2,2,3,3,3,4,2,4,2,4,2,2,3,2,2,3,3,3,3,4,3,2,4,2,3,2,3,3,2,2,4,2,2,2,3,4,2,2,3,2,2,2,2,2,4,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,2,2,3,2,2,3
022,3,4,4,4,,5,5,4,4,5,4,4,4,3,4,4,4,5,4,5,4,4,5,6,4,5,4,4,5,5,5,6,4,6,4,6,4,4,5,4,4,5,5,5,5,6,5,4,6,4,5,4,5,5,4,4,6,4,4,4,5,6,4,4,5,4,4,4,4,4,6,5,4,4,4,5,5,5,5,4,4,5,5,4,4,4,5,4,6,5,4,4,5
023,2,3,3,3,5,,4,3,3,4,3,3,3,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4,4,4,5,3,5,3,5,3,3,4,3,3,4,4,3,4,5,4,3,4,3,4,3,4,4,3,3,5,3,1,3,4,5,3,3,4,3,3,3,3,3,5,4,3,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,5,4,3,3,2
027,2,3,3,3,5,4,,3,3,4,3,3,3,3,3,3,3,4,3,4,4,3,4,5,3,4,3,3,4,4,4,5,3,5,3,5,3,3,4,3,3,4,4,4,4,5,4,3,5,3,4,3,4,4,3,3,5,3,3,3,4,5,3,3,4,3,3,3,3,3,5,4,3,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,5,4,3,3,4
029,1,2,2,2,4,3,3,,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,4,2,3,2,2,3,3,3,4,2,4,2,4,2,2,3,2,2,3,3,3,3,4,3,2,4,2,3,2,3,3,2,2,4,2,2,2,3,4,2,2,3,2,2,2,2,2,4,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,2,4,3,2,2,3
031,1,2,2,2,4,3,3,2,,3,2,2,2,2,2,2,2,3,2,3,3,2,3,4,2,3,2,2,3,3,3,4,2,4,2,4,2,2,3,2,2,3,3,3,3,4,3,2,4,2,3,2,3,3,2,2,4,2,2,2,3,4,2,2,3,2,2,2,2,2,4,3,2,2,2,3,3,3,3,2,2,3,2,2,2,2,3,2,4,3,2,2,3
